length-of-half-during-regular-play	The length of a half during regular play	La durée d'une période pendant le match régulier	La duración de una mitad durante el juego regular	Die Dauer einer Halbzeit während des regulären Spiels	Durasi satu babak selama pertandingan reguler	La durata di un tempo durante il gioco regolare	通常試合中のハーフの長さ	정규 경기 중 전반의 시간	Panjang separuh semasa permainan biasa	De duur van een helft tijdens regulier spel	A duração de um tempo durante o jogo regular	ความยาวของครึ่งเวลาระหว่างการเล่นปกติ	Ang haba ng isang kalahati sa panahon ng regular na laro	Normal oyun sırasında bir devrenin süresi	常规比赛中每半场的时长
half-time-lenght	HALF TIME LEN	DURÉE MI-TEMPS	DURACIÓN DEL MEDIO TIEMPO	HALBZEITPAUSE DAUER	DUR JEDA BABAK	DUR INTERVALLO	ハーフタイム時間	하프타임 시간	PANJANG REHAT SEPARUH MASA	DUUR RUST	DUR INTERVALO	ความยาวพักครึ่ง	HABA NG PAHINGA	DEVRE ARASI SÜRESİ	中场时长
length-of-half-time-period	The length of the Half Time period	La durée de la mi-temps	La duración del período de medio tiempo	Die Dauer der Halbzeitpause	Durasi periode jeda babak	La durata del periodo di intervallo	ハーフタイムの長さ	하프타임 기간의 시간	Panjang tempoh rehat separuh masa	De duur van de rustperiode	A duração do período de intervalo	ความยาวของช่วงพักครึ่งเวลา	Ang haba ng panahon ng pahinga	Devre arası süresinin uzunluğu	中场休息阶段的时长
nom-break	NOM BREAK	PAUSE NOMINALE	DESCANSO NOMINAL	NOM. PAUSE	JEDA NOMINAL	PAUSA NOM	基準休憩	기준 휴식	REHAT NOMINAL	NOM PAUZE	PAUSA NOM	พักตามกำหนด	NOMINAL NA PAHINGA	NOMİNAL ARA	名义休息
system-will-keep-game-times-spaced	The system will try to keep the game start times evenly spaced, with the total time from one start to the next being 2 * [Half Length] + [Half Time Length] + [Nominal Time Between Games] (example: if games have [Half Length] = 15m, [Half Time Length] = 3m, and [Nominal Time Between Games] = 12m, the time from the start of one game to the next will be 45m. Any timeouts taken, or other clock stoppages, will reduce the 12m time down until the minimum time between game value is reached).	Le système essaiera de maintenir les heures de début des matchs régulièrement espacées, avec un temps total de 2 * [Durée de la mi-temps] + [Durée de la mi-temps] + [Pause nominale entre les matchs] (exemple: si les matchs ont [Durée de la mi-temps] = 15m, [Durée de la mi-temps] = 3m, et [Pause nominale entre les matchs] = 12m, le temps entre le début d'un match et le suivant sera de 45m. Tout temps mort pris, ou autre arrêt de l'horloge, réduira le temps de 12m jusqu'à ce que la valeur de la pause minimale entre les matchs soit atteinte).	El sistema intentará mantener los tiempos de inicio de los juegos espaciados uniformemente, con el tiempo total de un juego al siguiente siendo 2 * [Duración de la Mitad] + [Duración del Medio Tiempo] + [Tiempo Nominal Entre Juegos] (ejemplo: si los juegos tienen [Duración de la Mitad] = 15m, [Duración del Medio Tiempo] = 3m, y [Tiempo Nominal Entre Juegos] = 12m, el tiempo desde el inicio de un juego al siguiente será de 45m. Cualquier tiempo de espera tomado, u otras paradas de reloj, reducirán el tiempo de 12m hasta alcanzar el tiempo mínimo entre juegos).	Das System versucht, die Spielstartzeiten gleichmäßig zu verteilen. Die Gesamtzeit von einem Start zum nächsten beträgt 2 × [Halbzeitdauer] + [Halbzeitpausendauer] + [Nominale Spielpause] (Beispiel: bei [Halbzeitdauer] = 15 Min, [Halbzeitpausendauer] = 3 Min und [Nominale Spielpause] = 12 Min beträgt die Zeit von Spielstart zu Spielstart 45 Min. Auszeiten oder andere Spielunterbrechungen verkürzen die 12 Min bis zur minimalen Pause zwischen Spielen).	Sistem akan mencoba menjaga waktu mulai pertandingan agar merata, dengan total waktu dari satu mulai ke mulai berikutnya adalah 2 × [Durasi Babak] + [Durasi Jeda Babak] + [Waktu Nominal Antar Pertandingan] (contoh: jika [Durasi Babak] = 15 menit, [Durasi Jeda Babak] = 3 menit, dan [Waktu Nominal Antar Pertandingan] = 12 menit, waktu dari mulai satu pertandingan ke berikutnya adalah 45 menit. Setiap time-out yang diambil, atau penghentian jam lainnya, akan mengurangi waktu 12 menit tersebut hingga mencapai nilai waktu minimum antar pertandingan).	Il sistema cercherà di mantenere i tempi di inizio partita equamente distanziati, con il tempo totale da un inizio all'altro pari a 2 × [Durata Tempo] + [Durata Intervallo] + [Tempo Nominale fra Partite] (esempio: se [Durata Tempo] = 15 min, [Durata Intervallo] = 3 min e [Tempo Nominale fra Partite] = 12 min, il tempo da inizio a inizio sarà 45 min. Eventuali time-out o altre interruzioni ridurranno i 12 min fino al raggiungimento del tempo minimo fra partite).	システムは試合開始時刻を均等に保つよう努めます。1試合の開始から次の試合の開始までの合計時間は、2 × [ハーフ時間] + [ハーフタイム時間] + [試合間基準時間] となります（例：[ハーフ時間] = 15分、[ハーフタイム時間] = 3分、[試合間基準時間] = 12分の場合、1試合の開始から次の試合まで45分。タイムアウトやその他のクロック停止があると、最小試合間時間に達するまで12分が短縮されます）。	시스템은 경기 시작 시간을 균등하게 유지하려 합니다. 한 경기 시작부터 다음 경기 시작까지의 총 시간은 2 × [전반 시간] + [하프타임 시간] + [경기 간 기준 시간]입니다 (예: [전반 시간] = 15분, [하프타임 시간] = 3분, [경기 간 기준 시간] = 12분이면 한 경기 시작부터 다음 경기까지 45분. 타임아웃이나 기타 시계 정지 시 최소 경기 간 시간에 도달할 때까지 12분이 줄어듭니다).	Sistem akan cuba mengekalkan masa mula perlawanan secara sekata, dengan jumlah masa dari satu permulaan ke permulaan berikutnya ialah 2 × [Panjang Separuh] + [Panjang Rehat Separuh Masa] + [Masa Nominal Antara Perlawanan] (contoh: jika perlawanan mempunyai [Panjang Separuh] = 15m, [Panjang Rehat Separuh Masa] = 3m, dan [Masa Nominal Antara Perlawanan] = 12m, masa dari mula satu perlawanan ke perlawanan berikutnya ialah 45m. Sebarang masa rehat yang diambil, atau penghentian jam yang lain, akan mengurangkan masa 12m itu sehingga nilai masa minimum antara perlawanan dicapai).	Het systeem probeert de starttijden van wedstrijden gelijkmatig te verdelen. De totale tijd van de ene start tot de volgende is 2 × [Duur Helft] + [Duur Rust] + [Nominale Tijd Tussen Wedstrijden] (voorbeeld: als [Duur Helft] = 15 min, [Duur Rust] = 3 min en [Nominale Tijd] = 12 min, dan is de tijd van start tot start 45 min. Genomen time-outs of andere onderbrekingen verkorten de 12 min tot de minimale tijd tussen wedstrijden is bereikt).	O sistema tentará manter os horários de início dos jogos espaçados de forma uniforme, sendo o tempo total de um início ao seguinte igual a 2 × [Duração do Tempo] + [Duração do Intervalo] + [Tempo Nominal Entre Jogos] (exemplo: se [Duração do Tempo] = 15 min, [Duração do Intervalo] = 3 min e [Tempo Nominal Entre Jogos] = 12 min, o tempo de início a início será de 45 min. Os tempos de equipa ou outras paragens reduzirão os 12 min até ser atingido o tempo mínimo entre jogos).	ระบบจะพยายามรักษาเวลาเริ่มเกมให้เท่ากัน โดยเวลารวมจากการเริ่มหนึ่งไปอีกการเริ่มหนึ่งคือ 2 × [ความยาวครึ่ง] + [ความยาวพักครึ่ง] + [เวลาระหว่างเกมตามกำหนด] (ตัวอย่าง: ถ้า [ความยาวครึ่ง] = 15 นาที, [ความยาวพักครึ่ง] = 3 นาที และ [เวลาระหว่างเกมตามกำหนด] = 12 นาที เวลาจากการเริ่มเกมหนึ่งไปอีกเกมหนึ่งจะเป็น 45 นาที การพักทีมหรือการหยุดนาฬิกาอื่นๆ จะลดเวลา 12 นาทีลงจนถึงค่าเวลาระหว่างเกมขั้นต่ำ)	Susubukan ng sistema na panatilihing pantay ang mga oras ng simula ng laro, na ang kabuuang oras mula sa isang simula hanggang sa susunod ay 2 × [Haba ng Kalahati] + [Haba ng Pahinga] + [Nominal na Oras sa Pagitan ng mga Laro] (halimbawa: kung ang [Haba ng Kalahati] = 15 min, [Haba ng Pahinga] = 3 min at [Nominal na Oras sa Pagitan ng mga Laro] = 12 min, ang oras mula simula hanggang simula ay magiging 45 min. Ang anumang mga timeout o iba pang paghinto ng orasan ay magbabawas ng 12 min hanggang maabot ang pinakamaliit na oras sa pagitan ng mga laro).	Sistem, oyun başlangıç zamanlarını eşit aralıklı tutmaya çalışır. Bir başlangıçtan diğerine toplam süre 2 × [Devre Uzunluğu] + [Devre Arası Uzunluğu] + [Oyunlar Arası Nominal Süre] şeklindedir (örnek: [Devre Uzunluğu] = 15dk, [Devre Arası Uzunluğu] = 3dk ve [Oyunlar Arası Nominal Süre] = 12dk ise, bir oyunun başlangıcından diğerine kadar geçen süre 45dk olacaktır. Alınan molalar veya diğer saat duraklamaları, oyunlar arası minimum süreye ulaşılana kadar 12dk'yı kısaltacaktır).	系统将尽量保持比赛开始时间均匀分布，从一场比赛开始到下一场比赛开始的总时间为 2 × [半场时长] + [中场时长] + [名义场间时间]（例如：若[半场时长] = 15分钟、[中场时长] = 3分钟、[名义场间时间] = 12分钟，则从一场比赛开始到下一场的时间为45分钟。任何暂停或其他停钟操作都会缩短这12分钟，直到达到最短场间时间为止）。
min-break	MIN BREAK	PAUSE MINIMUM	DESCANSO MÍNIMO	MIN. PAUSE	JEDA MINIMUM	PAUSA MIN	最小休憩	최소 휴식	REHAT MINIMUM	MIN PAUZE	PAUSA MÍN	พักขั้นต่ำ	PINAKAMALIIT NA PAHINGA	MİNİMUM ARA	最短休息
min-time-btwn-games	If a game runs longer than scheduled, this is the minimum time between games that the system will allot. If the games fall behind, the system will automatically try to catch up after subsequent games, always respecting this minimum time between games.	Si un match dure plus longtemps que prévu, ceci est le temps minimum entre les matchs que le système allouera. Si les matchs prennent du retard, le système essaiera automatiquement de rattraper après les matchs suivants, en respectant toujours ce temps minimum entre les matchs.	Si un juego dura más de lo programado, este es el tiempo mínimo entre juegos que el sistema asignará. Si los juegos se retrasan, el sistema intentará automáticamente reajustarse después de los juegos subsecuentes, siempre respetando este tiempo mínimo entre juegos.	Wenn ein Spiel länger dauert als geplant, ist dies die minimale Pause zwischen Spielen, die das System einplant. Bei Rückstand holt das System bei nachfolgenden Spielen auf und hält dabei stets diese Mindestpause ein.	Jika suatu pertandingan berjalan lebih lama dari jadwal, ini adalah waktu minimum antar pertandingan yang akan dialokasikan oleh sistem. Jika pertandingan tertunda, sistem akan secara otomatis mencoba mengejar pada pertandingan berikutnya, selalu menghormati waktu minimum antar pertandingan ini.	Se una partita dura più del previsto, questo è il tempo minimo fra le partite che il sistema assegnerà. Se le partite accumulano ritardo, il sistema cercherà di recuperare nelle partite successive, rispettando sempre questo tempo minimo.	試合が予定より長引いた場合、システムが確保する試合間の最小時間です。試合が遅れた場合、システムは後続の試合で自動的に追いつきを試みますが、常にこの最小試合間時間を守ります。	경기가 예정보다 길어질 경우, 시스템이 할당하는 경기 간 최소 시간입니다. 경기가 지연되면 시스템이 이후 경기에서 자동으로 따라잡으며 항상 이 최소 경기 간 시간을 준수합니다.	Jika perlawanan berjalan lebih lama daripada yang dijadualkan, ini adalah masa minimum antara perlawanan yang akan diperuntukkan oleh sistem. Jika perlawanan tertangguh, sistem akan cuba mengejar secara automatik selepas perlawanan seterusnya, sentiasa mematuhi masa minimum antara perlawanan ini.	Als een wedstrijd langer duurt dan gepland, is dit de minimale tijd tussen wedstrijden die het systeem toestaat. Als wedstrijden uitlopen, probeert het systeem bij volgende wedstrijden in te halen, waarbij altijd deze minimale tijd wordt gerespecteerd.	Se um jogo durar mais do que o previsto, este é o tempo mínimo entre jogos que o sistema atribuirá. Se os jogos ficarem atrasados, o sistema tentará recuperar nos jogos seguintes, respeitando sempre este tempo mínimo.	หากเกมดำเนินนานกว่ากำหนด นี่คือเวลาระหว่างเกมขั้นต่ำที่ระบบจะจัดสรร หากเกมล่าช้า ระบบจะพยายามตามทันในเกมถัดไป โดยเคารพเวลาระหว่างเกมขั้นต่ำนี้เสมอ	Kung ang isang laro ay mas matagal kaysa sa nakatakda, ito ang pinakamaliit na oras sa pagitan ng mga larong itatalaga ng sistema. Kung nahuhuli ang mga laro, awtomatikong susubukan ng sistema na makahabol sa mga susunod na laro, palaging iginagalang ang pinakamaliit na oras na ito sa pagitan ng mga laro.	Bir oyun planlanandan uzun sürerse, bu sistemin izin vereceği oyunlar arasındaki minimum süredir. Oyunlar geride kalırsa sistem, her zaman bu minimum süreye saygı göstererek sonraki oyunlarda yakalamaya otomatik olarak çalışacaktır.	若比赛超出预定时长，这是系统分配的场间最短时间。若比赛落后于计划，系统将在后续比赛中自动追赶，始终遵守此最短场间时间。
pre-ot-break-abreviated	PRE OT BREAK	P. PRÉ PROL.	DESCANSO PREVIO A LA PRORROGA	PAUSE VOR VERLÄNGERUNG	JEDA SEBELUM PW	PAUSA PRE SUPPL.	延長前休憩	연장전 전 휴식	REHAT PRA-MASA TAMBAHAN	PAUZE VOOR VERLENGING	PAUSA PRÉ PRORR	พักก่อนต่อเวลาพิเศษ	PAHINGA BAGO OT	UZATMA ÖNCESİ ARA	加时前休息
pre-sd-brk	If overtime is enabled and needed, this is the length of the break between Second Half and Overtime First Half	Si les prolongations sont autorisées et nécessaires, ceci est la durée de la pause entre la deuxième mi-temps et la première mi-temps des prolongations	Si se habilita el tiempo extra y es necesario, esta es la duración del descanso entre la segunda y la primera mitad del tiempo extra	Wenn Verlängerung aktiviert und erforderlich ist, ist dies die Dauer der Pause zwischen der zweiten Halbzeit und der ersten Halbzeit der Verlängerung	Jika perpanjangan waktu diizinkan dan diperlukan, ini adalah durasi jeda antara Babak Kedua dan Babak Pertama Perpanjangan Waktu	Se i tempi supplementari sono abilitati e necessari, questa è la durata della pausa fra il Secondo Tempo e il Primo Tempo Supplementare	延長戦が許可されており必要な場合、これは第2ハーフと延長第1ハーフの間の休憩時間です	연장전이 허용되고 필요한 경우, 이것은 후반과 연장 전반 사이의 휴식 시간입니다	Jika masa tambahan dibenarkan dan diperlukan, ini adalah panjang rehat antara Separuh Kedua dan Separuh Pertama Masa Tambahan	Als verlenging is ingeschakeld en nodig is, is dit de duur van de pauze tussen de tweede helft en de eerste helft van de verlenging	Se a prorrogação estiver ativada e for necessária, esta é a duração da pausa entre o Segundo Tempo e o Primeiro Tempo da Prorrogação	หากเปิดใช้การต่อเวลาพิเศษและจำเป็น นี่คือความยาวของการพักระหว่างครึ่งที่สองและครึ่งแรกของการต่อเวลาพิเศษ	Kung pinahintulutan ang overtime at kinakailangan, ito ang haba ng pahinga sa pagitan ng Ikalawang Kalahati at ng Unang Kalahati ng Overtime	Uzatma etkinleştirilmişse ve gerekiyorsa, bu İkinci Devre ile Uzatma Birinci Devresi arasındaki ara süresinin uzunluğudur	若启用加时赛且需要加时，这是下半场与加时赛上半场之间的休息时长
ot-half-len	OT HALF LEN	PÉRIODE PROLONGATION	DURACIÓN DE LA MITAD DEL T/E	VERL. HALBZ. DAUER	DUR BABAK PW	DUR TEMPO SUPPL.	延長ハーフ時間	연장 전반 시간	PANJANG SEPARUH MASA TAMBAHAN	DUUR HELFT VERL	DUR TEMPO PRORR	ครึ่งต่อเวลาพิเศษ	HABA NG KALAHATI SA OT	UZATMA DEVRESİ	加时半场时长
time-during-ot	The length of a half during overtime	La durée d'une période pendant les prolongations	La duración de una mitad durante el tiempo extra	Die Dauer einer Halbzeit während der Verlängerung	Durasi satu babak selama perpanjangan waktu	La durata di un tempo durante i tempi supplementari	延長戦中のハーフの長さ	연장전 중 전반의 시간	Panjang separuh semasa masa tambahan	De duur van een helft tijdens de verlenging	A duração de um tempo durante a prorrogação	ความยาวของครึ่งเวลาระหว่างการต่อเวลาพิเศษ	Ang haba ng isang kalahati sa panahon ng overtime	Uzatma sırasında bir devrenin süresi	加时赛中每半场的时长
ot-half-tm-len	OT HLF TM LEN	DURÉE DE LA PAUSE A LA PROLONGATION	DURACIÓN DEL MEDIO TIEMPO DEL T/E	VERL. PAUSE DAUER	DUR JEDA PW	DUR INT SUPPL.	延長ハーフタイム時間	연장 하프타임 시간	PANJANG REHAT SEPARUH MASA TAMBAHAN	RUST VERL DUUR	DUR INT PRORR	พักครึ่งต่อเวลาพิเศษ	HABA NG PAHINGA SA OT	UZATMA DEVRE ARASI	加时中场时长
len-of-overtime-halftime	The length of Overtime Half Time	La durée de la mi-temps des prolongations	La duración del medio tiempo durante el tiempo extra	Die Dauer der Verlängerungspause	Durasi jeda babak perpanjangan waktu	La durata dell'intervallo supplementare	延長ハーフタイムの長さ	연장전 하프타임의 시간	Panjang rehat separuh masa tambahan	De duur van de rust tijdens de verlenging	A duração do intervalo da prorrogação	ความยาวของพักครึ่งเวลาต่อเวลาพิเศษ	Ang haba ng pahinga sa Overtime	Uzatma devre arasının süresi	加时赛中场休息的时长
pre-sd-break	PRE SD BREAK	PAUSE PRÉ M/S	DESCANSO PREVIO A MUERTE SÚBITA	PAUSE VOR PLÖTZL. TOD	JEDA SEBELUM SD	PAUSA PRE MORTE IMM.	SD前休憩	서든 데스 전 휴식	REHAT PRA-SUDDEN DEATH	PAUZE VOOR PLTS DOOD	PAUSA PRÉ MS	พักก่อนตายกะทันหัน	PAHINGA BAGO SD	ANİ ÖLÜM ÖNCESİ ARA	突然死亡前休息
pre-sd-len	The length of the break between the preceeding play period and Sudden Death	La durée de la pause entre la période de match précédente et la mort subite	La duración del descanso entre el período de juego precedente y la muerte súbita	Die Dauer der Pause zwischen dem vorherigen Spielabschnitt und dem Plötzlichen Tod	Durasi jeda antara periode permainan sebelumnya dan Sudden Death	La durata della pausa fra il periodo di gioco precedente e la Morte Improvvisa	直前のプレー期間とサドンデスの間の休憩時間	이전 경기 기간과 서든 데스 사이의 휴식 시간	Panjang rehat antara tempoh permainan sebelumnya dan Sudden Death	De duur van de pauze tussen het voorgaande speelgedeelte en Plotselinge Dood	A duração da pausa entre o período de jogo anterior e a Morte Súbita	ความยาวของการพักระหว่างช่วงเล่นก่อนหน้าและตายกะทันหัน	Ang haba ng pahinga sa pagitan ng nakaraang panahon ng laro at Sudden Death	Önceki oyun dönemi ile Ani Ölüm arasındaki ara süresinin uzunluğu	前一比赛阶段到突然死亡赛之间的休息时长
language	LANGUAGE	LANGUE	IDIOMA	SPRACHE	BAHASA	LINGUA	言語	언어	BAHASA	TAAL	IDIOMA	ภาษา	WIKA	DİL	语言
this-language	ENGLISH	FRANÇAIS	ESPAÑOL	DEUTSCH	INDONESIA	ITALIANO	日本語	한국어	BAHASA MELAYU	NEDERLANDS	PORTUGUÊS	ภาษาไทย	FILIPINO	TÜRKÇE	中文（简体）
portal-login-code	CODE	Code de connexion	Código de inicio de sesión	CODE	KODE	CODICE	コード	코드	KOD	CODE	CÓDIGO	รหัส	CODE	KOD	代码
portal-login-instructions	Please go to the {1} Portal >> Event Management >> Referee Management, click on the + button to add a new Refbox, and enter this Refbox ID: {2}	Veuillez aller sur le Portail {1} >> Gestion des Événements >> Gestion des Arbitres, cliquer sur le bouton + pour ajouter une nouvelle Refbox, et entrer cet ID Refbox : {2}	Por favor, vaya a {1} Portal >> Gestión de Eventos >> Gestión de Árbitros, haga clic en el botón + para añadir un nuevo Refbox, e introduzca este ID de Refbox: {2}	Gehen Sie zu {1} Portal >> Veranstaltungsverwaltung >> Schiedsrichterverwaltung, klicken Sie auf die + Schaltfläche, um eine neue Refbox hinzuzufügen, und geben Sie diese Refbox-ID ein: {2}	Silakan buka {1} Portal >> Manajemen Acara >> Manajemen Wasit, klik tombol + untuk menambahkan Refbox baru, dan masukkan ID Refbox ini: {2}	Vai su {1} Portal >> Gestione Evento >> Gestione Arbitri, clicca sul pulsante + per aggiungere un nuovo Refbox e inserisci questo ID Refbox: {2}	{1}ポータル >> 大会管理 >> 審判管理 へ進み、＋ボタンをクリックして新しいRefboxを追加し、このRefbox IDを入力してください: {2}	{1} Portal >> 대회 관리 >> 심판 관리로 이동하여 + 버튼을 클릭해 새 Refbox를 추가하고 이 Refbox ID를 입력하세요: {2}	Sila pergi ke {1} Portal >> Pengurusan Acara >> Pengurusan Pengadil, klik butang + untuk menambah Refbox baharu, dan masukkan ID Refbox ini: {2}	Ga naar het {1}-portaal >> Evenementbeheer >> Scheidsrechterbeheer, klik op de + knop om een nieuwe Refbox toe te voegen en voer dit Refbox-ID in: {2}	Aceda ao Portal {1} >> Gestão de Eventos >> Gestão de Árbitros, clique no botão + para adicionar um novo Refbox e introduza este ID de Refbox: {2}	กรุณาไปที่ {1} Portal >> การจัดการกิจกรรม >> การจัดการผู้ตัดสิน คลิกปุ่ม + เพื่อเพิ่ม Refbox ใหม่ และป้อน Refbox ID นี้: {2}	Pumunta sa {1} Portal >> Pamamahala ng Kaganapan >> Pamamahala ng Referee, i-click ang + na pindutan upang magdagdag ng bagong Refbox, at ilagay ang Refbox ID na ito: {2}	Lütfen {1} Portal >> Event Management >> Referee Management bölümüne gidin, yeni bir Refbox eklemek için + düğmesine tıklayın ve bu Refbox kimliğini girin: {2}	请前往{1} Portal >> 赛事管理 >> 裁判管理，点击+按钮添加新的Refbox，并输入此Refbox ID： {2}
help	HELP:	AIDE:	AYUDA:	HILFE:	BANTUAN:	AIUTO:	ヘルプ:	도움말:	BANTUAN:	HELP:	AJUDA:	ช่วยเหลือ:	TULONG:	YARDIM:	帮助：
game-configuration-can-not-be-changed	The game configuration can not be changed while a game is in progress.	La configuration du match ne peut pas être modifiée pendant qu'un match est en cours.	La configuración del juego no se puede cambiar mientras un juego está en progreso.	Die Spielkonfiguration kann während eines laufenden Spiels nicht geändert werden.	Konfigurasi pertandingan tidak dapat diubah saat pertandingan sedang berlangsung.	La configurazione della partita non può essere modificata mentre una partita è in corso.	試合進行中は試合設定を変更できません。	경기 진행 중에는 경기 설정을 변경할 수 없습니다.	Konfigurasi perlawanan tidak boleh diubah semasa perlawanan sedang berlangsung.	De wedstrijdconfiguratie kan niet worden gewijzigd terwijl een wedstrijd bezig is.	A configuração do jogo não pode ser alterada enquanto um jogo está em curso.	ไม่สามารถเปลี่ยนการตั้งค่าเกมได้ขณะที่เกมกำลังดำเนินอยู่	Hindi mababago ang configuration ng laro habang nagaganap ang laro.	Oyun yapılandırması, bir oyun devam ederken değiştirilemez.	比赛进行中无法更改比赛配置。
apply-this-game-number-change	How would you like to apply this game number change?	Comment souhaitez-vous appliquer ce changement de numéro ?	¿Cómo te gustaría aplicar este cambio de número de juego?	Wie möchten Sie diese Spielnummernänderung anwenden?	Bagaimana Anda ingin menerapkan perubahan nomor pertandingan ini?	Come vuoi applicare questa modifica al numero di partita?	この試合番号の変更をどのように適用しますか？	이 경기 번호 변경을 어떻게 적용하시겠습니까?	Bagaimana anda ingin menerapkan perubahan nombor perlawanan ini?	Hoe wilt u deze wijziging van het wedstrijdnummer toepassen?	Como pretende aplicar esta alteração ao número de jogo?	คุณต้องการใช้การเปลี่ยนหมายเลขเกมนี้อย่างไร?	Paano mo nais ilapat ang pagbabago ng numero ng larong ito?	Bu oyun numarası değişikliğini nasıl uygulamak istersiniz?	您希望如何应用此比赛编号更改？
portal-enabled	When {1}PORTAL is enabled, all fields must be filled out.	Lorsque {1}PORTAL est activé, tous les champs doivent être remplis.	Cuando {1}PORTAL está habilitado, todos los campos deben ser completados.	Wenn {1}PORTAL aktiviert ist, müssen alle Felder ausgefüllt werden.	Saat {1}PORTAL diaktifkan, semua kolom harus diisi.	Quando {1}PORTAL è abilitato, tutti i campi devono essere compilati.	{1}Portalが有効な場合、すべての項目を入力する必要があります。	{1}PORTAL이 활성화된 경우 모든 필드를 입력해야 합니다.	Apabila {1}PORTAL diaktifkan, semua medan mesti diisi.	Als {1}PORTAL is ingeschakeld, moeten alle velden worden ingevuld.	Quando o {1}PORTAL está ativado, todos os campos têm de ser preenchidos.	เมื่อเปิดใช้ {1}PORTAL ต้องกรอกข้อมูลทุกช่อง	Kapag pinagana ang {1}PORTAL, dapat mapunan ang lahat ng field.	{1}PORTAL etkinleştirildiğinde, tüm alanlar doldurulmalıdır.	启用{1}PORTAL时，所有字段必须填写。
mode-switch-portal-tenant	Changing mode from {1} to {2} will disable the link to {3}PORTAL and you must re-connect to {4}PORTAL.	Changer le mode de {1} à {2} désactivera le lien vers {3}PORTAL et vous devrez vous reconnecter à {4}PORTAL.	Cambiar el modo de {1} a {2} desactivará el enlace a {3}PORTAL y deberás volver a conectarte a {4}PORTAL.	Wenn Sie den Modus von {1} zu {2} wechseln, wird die Verbindung zu {3}PORTAL getrennt und Sie müssen sich erneut mit {4}PORTAL verbinden.	Mengubah mode dari {1} ke {2} akan menonaktifkan tautan ke {3}PORTAL dan Anda harus menghubungkan kembali ke {4}PORTAL.	Cambiare modalità da {1} a {2} disabiliterà il collegamento a {3}PORTAL e sarà necessario ricollegarsi a {4}PORTAL.	モードを{1}から{2}に変更すると、{3}PORTALへのリンクが無効になり、{4}PORTALに再接続する必要があります。	모드를 {1}에서 {2}로 변경하면 {3}PORTAL 연결이 끊어지며 {4}PORTAL에 다시 연결해야 합니다.	Menukar mod daripada {1} kepada {2} akan menyahaktifkan pautan ke {3}PORTAL dan anda perlu menyambung semula ke {4}PORTAL.	Het wijzigen van de modus van {1} naar {2} verbreekt de verbinding met {3}PORTAL en u moet opnieuw verbinding maken met {4}PORTAL.	Alterar o modo de {1} para {2} desativará a ligação ao {3}PORTAL e terá de se ligar novamente ao {4}PORTAL.	การเปลี่ยนโหมดจาก {1} เป็น {2} จะปิดใช้งานการเชื่อมต่อกับ {3}PORTAL และคุณต้องเชื่อมต่อใหม่กับ {4}PORTAL	Ang pagbabago ng mode mula {1} patungong {2} ay magpapatay ng koneksyon sa {3}PORTAL at kailangan mong muling kumonekta sa {4}PORTAL.	Modu {1} yerine {2} olarak değiştirmek {3}PORTAL bağlantısını devre dışı bırakacak ve {4}PORTAL'a yeniden bağlanmanız gerekecektir.	将模式从{1}更改为{2}将断开与{3}PORTAL的连接，您需要重新连接到{4}PORTAL。
uwhportal-token-invalid-code	Invalid code entered. Please try again.	Code invalide. Veuillez réessayer.	Código inválido. Por favor, inténtelo de nuevo.	Ungültiger Code eingegeben. Bitte erneut versuchen.	Kode yang dimasukkan tidak valid. Silakan coba lagi.	Codice inserito non valido. Riprova.	無効なコードが入力されました。 もう一度試してください。	잘못된 코드가 입력되었습니다. 다시 시도하세요.	Kod yang dimasukkan tidak sah. Sila cuba lagi.	Ongeldige code ingevoerd. Probeer het opnieuw.	Código introduzido inválido. Tente novamente.	รหัสที่ป้อนไม่ถูกต้อง โปรดลองอีกครั้ง	Maling code ang naipasok. Pakisubukan muli.	Geçersiz kod girildi. Lütfen tekrar deneyin.	输入的代码无效。 请重试。
uwhportal-token-no-pending-link	Portal not expecting a connection. Please try again.	Aucun lien en attente trouvé. Veuillez réessayer.	No se encontró ningún enlace pendiente. Por favor, inténtelo de nuevo.	Portal erwartet keine Verbindung. Bitte erneut versuchen.	Portal tidak mengharapkan koneksi. Silakan coba lagi.	Il portale non si aspetta una connessione. Riprova.	ポータルは接続を待っていません。 もう一度試してください。	Portal이 연결을 기다리지 않습니다. 다시 시도하세요.	Portal tidak menjangka sambungan. Sila cuba lagi.	Portaal verwacht geen verbinding. Probeer het opnieuw.	O portal não está à espera de uma ligação. Tente novamente.	พอร์ทัลไม่รอการเชื่อมต่อ โปรดลองอีกครั้ง	Hindi inaasahan ng Portal ang isang koneksyon. Pakisubukan muli.	Portal bir bağlantı beklemiyordur. Lütfen tekrar deneyin.	Portal未等待连接。 请重试。
go-back-to-editor	GO BACK TO EDITOR	RETOURNER À L'ÉDITEUR	VOLVER AL EDITOR	ZURÜCK ZUM EDITOR	KEMBALI KE EDITOR	TORNA ALL'EDITOR	編集画面に戻る	편집기로 돌아가기	KEMBALI KE EDITOR	TERUG NAAR EDITOR	VOLTAR AO EDITOR	กลับไปยังตัวแก้ไข	BUMALIK SA EDITOR	DÜZENLEYICIYE GERİ DÖN	返回编辑器
